Date,Total_Demand
2016-03-30,141500.0
2016-03-31,213100.0
2016-04-01,43000.0
2016-04-04,132100.0
2016-04-05,188100.0
2016-04-06,116000.0
2016-04-07,61000.0
2016-04-08,7000.0
2016-04-11,171600.0
2016-04-12,125000.0
2016-04-13,172300.0
2016-04-14,132000.0
2016-04-15,171200.0
2016-04-18,97100.0
2016-04-19,121200.0
2016-04-20,139000.0
2016-04-21,127300.0
2016-04-22,153000.0
2016-04-25,220000.0
2016-04-26,56200.0
2016-04-27,230300.0
2016-04-28,17300.0
2016-05-02,21000.0
2016-05-06,90000.0
2016-05-09,153000.0
2016-05-10,91700.0
2016-05-11,220000.0
2016-05-12,98000.0
2016-05-13,24200.0
2016-05-16,82700.0
2016-05-17,238700.0
2016-05-18,86700.0
2016-05-19,41000.0
2016-05-20,89300.0
2016-05-23,79500.0
2016-05-24,96200.0
2016-05-25,84000.0
2016-05-26,70000.0
2016-05-27,119600.0
2016-05-30,20000.0
2016-05-31,55500.0
2016-06-01,153400.0
2016-06-02,70700.0
2016-06-03,64000.0
2016-06-06,60000.0
2016-06-07,194400.0
2016-06-08,90000.0
2016-06-09,132200.0
2016-06-10,64300.0
2016-06-13,134000.0
2016-06-14,63500.0
2016-06-15,69000.0
2016-06-16,22400.0
2016-06-17,3000.0
2016-06-20,190600.0
2016-06-21,136700.0
2016-06-22,77000.0
2016-06-23,122500.0
2016-06-27,42000.0
2016-06-28,285500.0
2016-06-29,76100.0
2016-06-30,305000.0
2016-07-01,92100.0
2016-07-04,88500.0
2016-07-05,59600.0
2016-07-06,5000.0
2016-07-07,215000.0
2016-07-08,84000.0
2016-07-11,59000.0
2016-07-12,92300.0
2016-07-13,94000.0
2016-07-14,151100.0
2016-07-15,42000.0
2016-07-19,250500.0
2016-07-20,10000.0
2016-07-21,72500.0
2016-07-22,160500.0
2016-07-25,62000.0
2016-07-26,115100.0
2016-07-27,131000.0
2016-07-28,50000.0
2016-07-29,82500.0
2016-08-01,162000.0
2016-08-02,181200.0
2016-08-03,91000.0
2016-08-04,40300.0
2016-08-05,172000.0
2016-08-08,72200.0
2016-08-09,94000.0
2016-08-10,61000.0
2016-08-15,1000.0
2016-08-16,35000.0
2016-08-17,129000.0
2016-08-18,106000.0
2016-08-19,117000.0
2016-08-22,148500.0
2016-08-23,30000.0
2016-08-24,77000.0
2016-08-25,81500.0
2016-08-26,106200.0
2016-08-29,110000.0
2016-08-30,118300.0
2016-08-31,125000.0
2016-09-01,92900.0
2016-09-02,113000.0
2016-09-05,65000.0
2016-09-06,21300.0
2016-09-07,45300.0
2016-09-08,67000.0
2016-09-09,41300.0
2016-09-12,101000.0
2016-09-13,100500.0
2016-09-14,116000.0
2016-09-15,151000.0
2016-09-16,60300.0
2016-09-20,75500.0
2016-09-21,172000.0
2016-09-23,217500.0
2016-09-26,44000.0
2016-09-27,107100.0
2016-09-28,87500.0
2016-09-29,289000.0
2016-09-30,152000.0
2016-10-03,202300.0
2016-10-04,83000.0
2016-10-05,173500.0
2016-10-06,42000.0
2016-10-07,122400.0
